brand,title,date,accords,rating_score,votes,longevity_poor,longevity_weak,longevity_moderate,longevity_long,longevity_very_long,sillage_soft,sillage_moderate,sillage_heavy,sillage_enormous,clslove,clslike,clsdislike,clswinter,clsspring,clssummer,clsautumn,clscold,clshot,clsday,clsnight,clslove_female25under,clslove_male25under,clslove_female25older,clslove_male25older,clslike_female25under,clslike_male25under,clslike_female25older,clslike_male25older,clsdislike_female25under,clsdislike_male25under,clsdislike_female25older,clsdislike_male25older,clswinter_female25under,clswinter_male25under,clswinter_female25older,clswinter_male25older,clsspring_female25under,clsspring_male25under,clsspring_female25older,clsspring_male25older,clssummer_female25under,clssummer_male25under,clssummer_female25older,clssummer_male25older,clsautumn_female25under,clsautumn_male25under,clsautumn_female25older,clsautumn_male25older,clsday_female25under,clsday_male25under,clsday_female25older,clsday_male25older,clsnight_female25under,clsnight_male25under,clsnight_female25older,clsnight_male25older,Ihaveit,Ihadit,Iwantit,notes_1,notes_2,notes_3,notes_4,notes_5,notes_6,notes_7,notes_8,notes_9,notes_10,notes_11,notes_12,notes_13,notes_14,notes_15,notes_16,notes_17,notes_18,notes_19,notes_20,gender
Officine-del-Profumo,Lei Officine del Profumo for women,2013,"citrus,vanilla,rose,patchouli,amber,earthy,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,0,0,Top1Orange,Top2Ivy,Middle0Jasmine,Middle1Rose,Base0Amber,Base1Oakmoss,Base2Vanilla,Base3Patchouli,,,,,,,,,,,,,women
Rosseta-Harris,Le Tout Paris For Men Rosseta Harris for men,2018,"woody,aromatic,white floral,green,fresh spicy,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,1,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,2,Middle0Lavender,Middle1Jasmine,Base0Suede,Base1Guaiac Wood,Base2Virginia Cedar,,,,,,,,,,,,,,,,
Nejma,Le Merveilleux Nejma for women and men,2018,"citrus,balsamic,warm spicy,amber,powdery,vanilla,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,2,Top1Lemon,Top2Mandarin Orange,Top3Grapefruit,Middle0Amber,Middle1Osmanthus,Middle2Artemisia,Middle3Tuberose,Base0Vanilla,Base1Patchouli,Base2Benzoin,Base3Tolu Balsam,,,,,,,,,,women
Inessance,Lilly Night Inessance for women,2015,"sweet,patchouli,citrus,vanilla,balsamic,warm spicy",4,1,0,0,0,0,0,0,1,0,0,1,100,1,100,1,1,1,0,0,1,100,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,0,0,5,Top1Mandarin Orange,Top2Bergamot,Top3Cassis,Middle0Lily-of-the-Valley,Middle1Plum,Middle2Patchouli,Middle3Tonka Bean,Base0Amber,Base1Vanilla,Base2Musk,Base3Praline,Base4Sandalwood,,,,,,,,,women
Allen-Shaw,Lily Allen Shaw for women and men,2017,"woody,balsamic,amber,animalic,leather,white floral",5,1,0,0,0,0,0,1,0,0,0,100,1,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Cedar,Top2Sandalwood,Top3Musk,Top4Leather,Top5Benzoin,Top6Mandarin Orange,Top7Amber,Middle0nan,Base0nan,,,,,,,,,,,,women
Anthropologie,Lilas Anthropologie for women,2013,"musky,amber,white floral,animalic,fruity",4,1,0,2,0,0,0,0,0,0,1,1,100,1,100,1,1,100,0,0,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,2,0,0,Top1Plum,Top2Lily,Top3Musk,Middle0nan,Base0nan,,,,,,,,,,,,,,,,women
Antonio-Rossini,Life Style Antonio Rossini for men,2016,"citrus,fresh spicy,marine,aromatic,amber,Pictures",4,1,0,0,0,1,0,0,1,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,Top1Sea Notes,Middle0Guaiac Wood,Middle1Bay Leaf,Base0Patchouli,Base1Ambergris,,,,,,,,,,,,,,,,
O-Botic-rio,Linda Lindinha O BoticÃ¡rio for women,2013,"fruity,sweet,tropical,sour,citrus,Pictures",1,1,0,0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,Top1Orange,Top2Mandarin Orange,Top3Cassis,Top4Plum,Middle0Mango,Middle1Apricot,Middle2Raspberry,Middle3Jasmine,Middle4Lily-of-the-Valley,Base0Amber,Base1Musk,Base2Honey,Base3Cedar,,,,,,,,women
Bejar,Lightness Bejar for women,0,"citrus,white floral,fruity,woody,rose,tuberose,Pictures",4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Rose,Top2Bergamot,Middle0Jasmine,Middle1Tuberose,Middle2Fruity Notes,Base0Cedar,Base1Patchouli,Base2Vanilla,,,,,,,,,,,,,women
Al-Rehab,Linda Al-Rehab for women,0,,1,1,0,0,1,0,1,0,0,0,0,1,1,100,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Mel-Merio,Little Lady Mel Merio for women,2013,"sweet,caramel,powdery,fruity,gourmand,Pictures",4,1,0,0,0,0,0,0,0,3,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Top1Cotton Candy,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,women
LiuShen-, Liushen Refreshing Floral Florida Water å…­ç¥ž æ¸…æ–°èŠ±é¦™ èŠ±éœ²æ°´ LiuShen å…­ç¥ž for women and men,0,,4,1,1,0,0,0,1,1,0,1,1,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
LiuShen-,Liushen Revitalizing Cool Blasts (Triple Mint) Florida Water å…­ç¥ž åŠ²å‡‰æç¥ž(3é‡è–„è·) èŠ±éœ²æ°´ LiuShen å…­ç¥ž for women and men,0,,5,1,0,1,0,0,0,0,1,0,0,100,1,1,1,1,100,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
LiuShen-,Liushen Mosquito-repelling Florida Water å…­ç¥ž é©±èšŠ èŠ±éœ²æ°´ LiuShen å…­ç¥ž for women and men,0,,4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,1,100,1,0,0,1,100,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,0,1,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Yves-de-Sistelle,Lilium Velvet Yves de Sistelle for women,0,"white floral,floral,vanilla,amber,balsamic",1,1,1,0,0,0,0,1,0,0,0,1,1,100,100,1,1,100,0,0,1,100,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,0,0,0,Top1Jasmine,Top2Tuberose,Middle0Patchouli,Middle1Cashmere Wood,Base0Heliotrope,Base1Amber,Base2Tonka Bean,Base3Vanilla,,,,,,,,,,,,,women
X-Bond,Lion Black X-Bond for men,0,"aromatic,fresh spicy,woody,herbal,fresh,citrus",1,1,0,0,0,0,0,0,0,0,0,1,1,100,1,1,1,1,0,0,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,0,0,2,Top1Rosemary,Top2Artemisia,Top3Lavender,Top4Juniper,Top5Woody Notes,Middle0nan,Base0nan,,,,,,,,,,,,,,
Babylon-Berlin,Liebe Babylon Berlin for women and men,2018,"fruity,floral,woody,white floral,citrus,amber,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,0,Top1Black Currant,Top2Peach,Middle0Rose,Middle1Jasmine,Middle2Magnolia,Base0Sandalwood,Base1Amber,Base2Musk,,,,,,,,,,,,,women
Venezia-1920,Lido Venezia 1920 for women and men,1920,"citrus,woody,powdery,floral,aromatic,green",0,1,0,0,1,0,0,0,1,0,0,1,1,1,100,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,4,Top1Cedar,Top2Lemon,Middle0iris,Middle1Lily-of-the-Valley,Base0Vetiver,Base1Amber,Base2Sandalwood,Base3Tonka Bean,Base4Vanilla,Base5Patchouli,,,,,,,,,,,women
Derbe,Liquirizia e Mandarino Derbe for women and men,0,"citrus,sweet,soft spicy,fruity,aldehydic,green",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Top1Mandarin Orange,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,
I-Caratteri,L'Intrigante I Caratteri for women and men,0,"citrus,warm spicy,cacao,patchouli,vanilla,woody",0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Top1Cacao,Top2Coriander,Top3Cumin,Top4Cedar,Top5Lemon,Top6Mandarin Orange,Top7Moss,Top8Nutmeg,Top9Patchouli,Top10Sandalwood,Top11Vanilla,Middle0nan,Base0nan,,,,,,,,women
Mahogany,LimÃ£o Siciliano Mahogany for women and men,2013,"citrus,aromatic,fresh spicy,green,floral,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,100,100,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,0,0,1,Top1Orange,Top2Grapefruit,Top3Pomelo,Top4Rosemary,Middle0Geranium,Middle1Jasmine Sambac,Middle2Magnolia,Middle3Lily-of-the-Valley,Middle4Neroli,Middle5Orange Blossom,Base0Haitian Vetiver,Base1Siam Benzoin,Base2Musk,,,,,,,,women
Parfums-et-Senteurs-du-Pays-Basque,Licorice (Reglisse) Parfums et Senteurs du Pays Basque for women and men,0,"warm spicy,sweet,soft spicy,anis,fresh spicy",0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,10,Top1Spicy Notes,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,women
Alvarez-Gom-z,Lilac Alvarez GomÃ©z for women and men,0,"floral,fresh,green,soft spicy,sweet",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,100,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,0,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Novaya-Zarya,Sexy Light Day Novaya Zarya for women,0,"sweet,patchouli,fruity,milky,rose,Pictures",4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,Top1Mandarin Orange,Middle0Rose,Middle1Jasmine,Base0Patchouli,Base1Praline,,,,,,,,,,,,,,,,women
Estiara,Lovely Life Estiara for women,0,"floral,fruity,citrus,white floral,fresh,amber",4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Blood Orange,Top2Raspberry,Middle0Osmanthus,Middle1Magnolia,Middle2Honeysuckle,Base0Amber,Base1Cashmere Wood,Base2Musk,,,,,,,,,,,,,women
Roger-Gallet,Vera Violetta Roger & Gallet for women,1894,"powdery,floral,woody,Pictures",4,1,0,0,0,1,0,0,1,0,1,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Nancy-Meiland-Parfums,Rosier Nancy Meiland Parfums for women and men,2014,"floral,green,powdery,fresh spicy,aromatic,citrus,Pictures",4,1,0,0,0,1,0,0,0,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,Top1Tangerine,Top2Black Currant,Middle0Pink Pepper,Middle1Galbanum,Middle2Rose Geranium,Middle3White Pear,Middle4Jasmine,Middle5Peony,Middle6Violet,Base0Mimosa,Base1Tobacco,Base2Hay,Base3Angelica,,,,,,,,women
Tiffi,Magic Tiffi for women,0,"powdery,floral,woody,musky,white floral",4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,1,1,100,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,0,0,Top1iris,Top2Violet,Top3Jasmine,Top4Black Currant,Top5Citruses,Middle0nan,Base0nan,,,,,,,,,,,,,,women
Palquis,Lover Flowers Palquis for women,2018,"woody,powdery,floral,balsamic,fruity",4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,100,1,1,0,0,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,0,0,1,Top1Bergamot,Top2Lemon,Top3Pink Pepper,Top4Violet,Middle0Peach,Middle1Black Currant,Middle2Lilac,Middle3Ylang-Ylang,Base0Sandalwood,Base1Musk,Base2Styrax,Base3Amber,Base4Patchouli,,,,,,,,women
Revillon,Revillon 4 Revillon for women,1973,"powdery,floral,woody,balsamic,warm spicy,aldehydic,Pictures",0,1,0,0,1,0,0,0,1,0,0,1,1,1,100,100,100,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,0,0,Top1Galbanum,Top2Bergamot,Top3Hyacinth,Middle0Rose,Middle1iris,Middle2Ylang-Ylang,Middle3Jasmine,Middle4Carnation,Middle5Mimosa,Middle6Violet,Base0Sandalwood,Base1Vetiver,Base2Civet,Base3Ambergris,Base4Tolu Balsam,Base5Myrrh,,,,,women
